X,Y,month,day,temp,RH,wind,rain
9,6,1,4,20.5,58,2.7,0
4,3,11,4,27.7,24,2.2,0
4,5,1,1,32.6,26,3.1,0
2,4,11,6,21.8,34,2.2,0
2,2,1,4,20.4,56,2.2,0
4,4,7,1,11.8,35,1.8,0
1,3,1,4,26.2,34,5.8,0
4,5,11,5,15.9,38,5.4,0
6,3,11,3,17.7,39,3.6,0
6,3,11,5,18.2,62,4.5,0
2,2,1,3,20.8,33,2.7,0
6,6,1,1,23.9,42,2.2,0
8,6,11,1,15.7,51,2.2,0
4,5,11,2,17.7,25,3.1,0
2,4,1,3,21.9,71,5.8,0
5,6,11,6,25.9,24,4,0
3,6,6,0,19.2,38,4.5,0
2,5,1,3,19.2,44,2.7,0
6,5,7,1,15.2,27,3.1,0
4,3,11,3,20.4,55,4.9,0
6,4,6,3,14.3,46,1.8,0
5,4,11,1,19.1,38,2.7,0
8,6,1,6,28.7,28,2.7,0
2,4,11,3,24.9,27,2.2,0
2,4,11,1,22.6,38,3.6,0
3,6,11,1,15.6,66,3.1,0
7,4,1,2,23.7,32,5.8,0
8,6,1,0,20.8,34,4.9,0
4,5,11,4,22.1,34,1.8,0
3,5,7,5,14.9,38,2.7,0
6,5,6,2,10.6,90,2.7,0
3,4,7,2,11.6,30,6.3,0
7,4,11,0,20.1,47,4.9,0
3,4,1,5,32.3,27,2.2,0
5,5,1,3,17.3,80,4.5,0
8,6,11,1,15.9,51,4.5,0
1,5,11,3,27.8,27,3.1,0
1,3,11,1,12.4,73,6.3,0
4,3,11,5,17.8,63,4.9,0
9,9,5,4,30.2,25,4.5,0
6,3,3,0,14.7,42,2.7,0
8,6,1,6,28.2,29,1.8,0
5,4,5,6,19.3,39,7.2,0
2,5,11,1,19.3,44,2.2,0
8,6,10,1,19.1,32,4,0
3,4,7,2,17.4,24,5.4,0
3,4,7,5,15.8,27,7.6,0
4,4,2,1,4.6,21,8.5,0
3,4,7,1,10.6,30,4,0
6,5,0,1,10.9,64,3.1,0
5,4,11,6,21.9,35,1.8,0
7,4,11,6,10.5,77,4,0
4,3,1,4,17.6,45,3.6,0
6,5,0,4,5.8,54,5.8,0
6,5,11,2,21.2,32,2.2,0
2,2,1,5,24.6,22,4.5,0
3,4,11,5,13.9,59,6.3,0
6,5,11,2,16.8,47,4.9,0
5,4,1,5,24.1,43,6.3,0
5,4,3,3,12.4,53,2.2,0
1,3,11,2,22.3,48,4,0
7,4,11,0,18.7,50,2.2,0
2,4,11,2,24.1,29,4.5,0
8,6,1,3,16.2,59,3.1,0
4,6,3,2,15.4,40,2.7,0
7,4,11,0,19.8,47,2.7,0
8,6,11,1,22.7,35,2.2,0
8,6,1,1,21.1,54,2.2,0
2,2,7,3,11.5,39,5.8,0
8,6,1,1,23.4,22,2.7,0
4,5,11,6,24.3,25,4,0
2,5,11,1,21.9,39,1.8,0
2,2,1,5,17.4,43,6.7,0
7,4,3,3,8.8,68,2.2,0
3,4,5,2,24.6,43,1.8,0
2,2,1,2,21.9,42,2.2,0
6,3,11,1,23,34,2.2,0
8,6,5,3,29.3,27,3.6,0
7,5,11,2,17.8,51,7.2,0
4,4,1,5,19.1,53,2.7,0
3,4,3,2,12.7,48,1.8,0
4,4,10,2,18.4,25,3.1,0
6,3,0,6,15.2,51,2.7,0
4,3,10,3,13.8,50,2.7,0
6,5,6,1,19.1,39,5.4,0
5,6,1,3,24.3,33,3.6,0
1,4,11,0,21.1,39,2.2,0
6,3,10,5,21.7,24,4.5,0
6,5,7,1,10.2,45,5.8,0
6,4,11,5,18.3,40,2.7,0
3,4,7,6,11.2,41,5.4,0
4,4,11,2,17.1,41,2.2,0
9,9,3,4,6.7,79,3.1,0
1,5,11,5,21.6,33,2.2,0
1,3,7,1,8.3,72,3.1,0
6,3,1,0,19.3,39,3.6,0
8,6,10,6,20.2,37,2.7,0
8,6,11,4,23.7,25,4.5,0
3,4,5,1,17.9,48,2.7,0
7,4,10,2,14.6,33,1.3,0
4,3,1,6,20.4,42,4.9,0
2,4,1,0,21.4,42,3.1,0
7,4,1,4,21.4,38,2.7,0
4,3,5,4,27.2,28,1.3,0
7,4,1,2,23.7,40,1.8,0
1,4,11,1,18.1,54,3.1,0
4,5,11,3,13.8,77,7.6,0
1,4,11,4,16.8,28,4,0
7,4,10,1,16.8,45,4.5,0
9,9,5,3,24.8,29,2.2,0
8,3,6,1,14.3,79,4,0
3,6,6,0,19.2,38,4.5,0
6,5,7,0,11.7,33,4,0
5,4,11,0,27.6,30,1.3,0
3,4,11,0,17.4,57,4.5,0
7,4,1,3,21.9,73,7.6,1
1,2,1,0,18.5,73,8.5,0
1,2,11,4,22.4,34,2.2,0
7,5,0,3,13.4,75,1.8,0
1,2,5,2,16.6,53,5.4,0
1,4,1,0,22.2,45,3.6,0
6,5,1,5,19.4,55,4,0
2,4,1,3,24.9,42,5.4,0
7,4,5,2,24.2,32,1.8,0
3,6,11,3,17.2,58,1.3,0
6,5,1,6,16.6,47,0.9,0
1,2,1,6,16.6,47,0.9,0
8,6,1,3,27.8,35,2.7,0
2,4,1,6,30.8,19,4.5,0
7,4,1,3,16.4,47,1.3,0
4,4,11,0,20.8,35,4.9,0
8,6,1,4,16.2,63,2.7,0
4,4,2,1,4.6,21,8.5,0
3,5,7,1,9,49,2.2,0
2,5,1,0,23.5,36,5.4,0
4,4,1,5,22.1,54,7.6,0
7,4,5,1,22.6,57,4.9,0
2,4,4,2,5.3,78,3.1,0
5,4,11,0,20.1,47,4.9,0
6,3,3,3,4.2,51,4,0
8,6,11,0,20.7,46,2.7,0
7,5,10,1,16.1,44,4,0
4,5,11,5,16.4,27,3.6,0
7,4,1,3,16.3,60,5.4,0
6,5,0,4,5.8,54,5.8,0
2,2,1,1,23.1,31,3.1,0
6,5,11,0,22.9,44,5.4,0
8,6,6,3,15.4,45,2.2,0
3,4,5,6,14.2,58,4,0
4,5,11,1,17.4,56,5.4,0
7,4,11,1,19.3,44,2.2,0
2,4,11,3,16,45,1.8,0
7,4,11,0,19,34,5.8,0
9,9,3,0,15.7,43,3.1,0
4,4,11,2,19.6,48,2.7,0
4,6,2,0,2.2,59,4.9,0
7,4,1,1,17.7,65,4,0
8,6,7,0,8.3,97,4,0.2
5,4,1,5,26.4,34,3.6,0
4,4,7,1,11,46,5.8,0
2,2,1,5,27.9,27,2.2,0
3,4,1,4,16.8,56,3.1,0
5,5,7,4,11.6,48,5.4,0
6,5,1,0,18.2,62,5.4,0
6,3,11,0,25.4,24,3.6,0
2,4,1,4,16.6,59,2.7,0
3,4,1,1,17.1,43,5.4,0
1,3,1,2,23.3,40,4,0
3,5,7,5,15.5,27,6.3,0
2,5,1,3,33.1,25,4,0
4,4,11,3,16.9,60,1.3,0
4,4,1,0,21.8,53,3.1,0
8,3,11,4,23.2,26,4.9,0
4,5,11,4,18.6,24,5.8,0
8,4,1,2,21.3,44,4.5,0
7,4,10,5,18,33,0.9,0
6,5,11,6,24.3,27,4.9,0
7,4,6,3,21,44,4.5,0
4,4,11,4,19.2,24,4.9,0
5,4,11,4,21.6,28,6.3,0
8,6,1,1,8,86,2.2,0
2,4,7,5,15.2,19,7.6,0
1,2,1,6,23.3,31,4.5,0
1,2,11,4,25.4,27,2.2,0
7,4,11,0,20.6,43,3.6,0
7,4,5,3,18.2,82,4.5,0
4,4,0,0,16.7,20,3.1,0
4,4,1,6,20.6,58,1.3,0
4,3,8,0,18,40,4,0
4,4,7,2,17,27,4.9,0
2,2,11,0,19.6,33,6.3,0
4,4,11,4,20.8,17,1.3,0
1,2,1,2,25.9,32,3.1,0
7,5,1,2,26.4,33,3.6,0
2,4,11,2,28.6,27,2.2,0
4,4,1,6,28.7,33,4,0
6,5,1,6,22.1,37,3.6,0
4,5,3,3,10.1,62,1.8,0
6,5,7,4,13.3,27,3.6,0
9,9,1,0,25,36,4,0
6,3,11,0,15.9,55,3.6,0
6,3,1,4,18.9,41,3.1,0
4,4,2,1,4.6,21,8.5,0
2,5,11,6,18.3,45,2.2,0
6,5,2,5,5.1,24,8.5,0
7,4,3,1,7.5,71,6.3,0
1,2,1,0,25.9,41,3.6,0
1,2,11,5,18.8,40,2.2,0
4,5,11,0,17.7,37,3.6,0
2,5,1,2,18.9,64,4.9,0
2,5,10,3,15.4,35,0.9,0
2,5,1,6,23.8,32,5.4,0
5,4,7,0,15.6,25,6.3,0
8,6,1,3,19.6,41,5.8,0
7,4,10,0,11.3,60,5.4,0
