X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,fire,Rand Form,
6,3,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0,0,0,0.645726135,
1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0,0,0,0.470945732,
1,2,sep,thu,92.9,137,706.4,9.2,25.4,27,2.2,0,0,0,0.899594079,
8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,0,0.576084466,
3,4,jul,wed,91.9,133.6,520.5,8,14.2,58,4,0,0,0,0.1669308,
6,5,aug,sun,92,203.2,664.5,8.1,19.1,70,2.2,0,0,0,0.484659952,
7,4,aug,sun,91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74,0,0.652751486,
1,2,sep,tue,91,129.5,692.6,7,18.8,40,2.2,0,212.88,1,0.852308741,
4,3,aug,sun,81.6,56.7,665.6,1.9,27.8,32,2.7,0,6.44,0,0.063230346,
5,4,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0,0,0,0.570911121,
1,2,sep,thu,92.9,137,706.4,9.2,22.4,34,2.2,0,0,0,0.393464937,
4,5,sep,sat,92.5,88,698.6,7.1,20.3,45,3.1,0,0,0,0.81235339,
8,6,aug,mon,92.1,207,672.6,8.2,21.1,54,2.2,0,0,0,0.995973604,
4,5,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0,11.06,0,0.530698657,
4,3,jul,thu,93.5,85.3,395,9.9,27.2,28,1.3,0,1.76,0,0.734515246,
2,5,aug,sat,93.7,231.1,715.1,8.4,23.6,53,4,0,6.43,0,0.487512076,
4,3,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0,36.85,0,0.731474759,
8,5,oct,mon,84.9,32.8,664.2,3,16.7,47,4.9,0,0,0,0.088369632,
3,4,aug,thu,91.6,248.4,753.8,6.3,16.8,56,3.1,0,0,0,0.751524422,
6,5,sep,fri,92.4,117.9,668,12.2,19.6,33,6.3,0,19.23,0,0.547103353,
2,2,sep,sat,92.5,121.1,674.4,8.6,18.2,46,1.8,0,200.94,1,0.470451378,
8,6,aug,mon,91.1,103.2,638.8,5.8,23.4,22,2.7,0,0,0,0.411507803,
6,5,sep,thu,92.8,119,783.5,7.5,21.6,27,2.2,0,0,0,0.534392422,
4,4,sep,sat,92.5,88,698.6,7.1,19.6,48,2.7,0,0,0,0.165554591,
1,4,sep,fri,92.5,122,789.7,10.2,21.1,39,2.2,0,8.12,0,0.18018432,
2,5,jun,thu,93.7,121.7,350.2,18,22.7,40,9.4,0,3.19,0,0.679650868,
5,4,sep,fri,92.1,99,745.3,9.6,10.1,75,3.6,0,3.71,0,0.464938601,
4,3,sep,sun,90.5,96.7,750.5,11.4,20.4,55,4.9,0,3.64,0,0.785168304,
7,4,aug,sat,91.8,170.9,692.3,13.7,23.7,40,1.8,0,1.38,0,0.919957001,
8,6,aug,mon,92.1,207,672.6,8.2,25.5,29,1.8,0,1.23,0,0.836684277,
4,5,aug,wed,95.2,217.7,690,18,23.4,49,5.4,0,6.43,0,0.374890035,
1,4,sep,thu,92.8,119,783.5,7.5,16.8,28,4,0,7.21,0,0.438892365,
1,4,sep,sat,92.2,102.3,751.5,8.4,24.2,27,3.1,0,0,0,0.10266795,
4,5,sep,tue,91.1,132.3,812.1,12.5,16.4,27,3.6,0,0,0,0.009331639,
2,2,aug,tue,94.8,108.3,647.1,17,17.4,43,6.7,0,1.07,0,0.946995195,
4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0,0,0,0.701181999,
3,4,mar,wed,90.2,18.5,41.1,7.3,11.2,41,5.4,0,5.55,0,0.575039023,
2,4,aug,wed,94.5,139.4,689.1,20,29.2,30,4.9,0,1.95,0,0.872523478,
2,4,aug,wed,92.2,91.6,503.6,9.6,20.7,70,2.2,0,0.75,0,0.634557129,
6,5,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29,0,0.16998064,
7,4,sep,fri,88.2,55.2,732.3,11.6,15.2,64,3.1,0,0.52,0,0.847063953,
7,5,apr,sun,81.9,3,7.9,3.5,13.4,75,1.8,0,0,0,0.029155334,
8,6,aug,sat,93.7,231.1,715.1,8.4,26.9,31,3.6,0,4.96,0,0.750439028,
3,5,sep,thu,90.7,136.9,822.8,6.8,12.9,39,2.7,0,2.18,0,0.16485849,
5,4,aug,sun,91.8,175.1,700.7,13.8,25.7,39,5.4,0,0.09,0,0.639076129,
4,5,aug,mon,96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77,0,0.507596699,
8,6,jul,sun,88.9,263.1,795.9,5.2,29.3,27,3.6,0,6.3,0,0.267218311,
6,4,feb,tue,75.1,4.4,16.2,1.9,5.1,77,5.4,0,2.14,0,0.393915422,
5,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46,0,0.150705165,
5,4,mar,fri,91.7,33.3,77.5,9,15.6,25,6.3,0,0,0,0.267505893,
7,4,aug,sat,91.6,273.8,819.1,7.7,15.5,72,8,0,1.94,0,0.019344103,
8,6,aug,wed,93.1,157.3,666.7,13.5,28.7,28,2.7,0,0,0,0.890358861,
3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0,0,0,0.252026069,
5,4,sep,wed,92.9,133.3,699.6,9.2,21.9,35,1.8,0,2.57,0,0.411664288,
6,5,sep,sat,92.2,102.3,751.5,8.4,19.7,35,1.8,0,0,0,0.318010153,
5,4,sep,fri,93.3,141.2,713.9,13.9,27.6,30,1.3,0,0,0,0.194555603,
4,4,mar,sat,91.7,35.8,80.8,7.8,17,27,4.9,0,28.66,0,0.933628602,
8,6,mar,fri,91.7,35.8,80.8,7.8,17.4,24,5.4,0,0,0,0.913980667,
5,4,sep,thu,92.8,119,783.5,7.5,21.6,28,6.3,0,4.41,0,0.356105736,
3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0,0,0,0.810694764,
4,4,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0,0,0,0.680803563,
8,4,aug,sat,91.6,273.8,819.1,7.7,21.3,44,4.5,0,12.18,0,0.704441372,
7,4,sep,fri,94.3,85.1,692.3,15.9,20.1,47,4.9,0,26.13,0,0.036889124,
7,4,jul,sun,93.7,101.3,423.4,14.7,18.2,82,4.5,0,2.21,0,0.02603855,
4,5,mar,fri,91.2,48.3,97.8,12.5,15.8,27,7.6,0,0,0,0.554336928,
2,2,aug,tue,94.6,212.1,680.9,9.5,27.9,27,2.2,0,0,0,0.993167325,
7,3,mar,mon,87.6,52.2,103.8,5,11,46,5.8,0,27.35,0,0.392658039,
5,4,aug,thu,94.8,222.4,698.6,13.9,20.3,42,2.7,0,0,0,0.135365347,
4,5,sep,sat,92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88,1,0.689151241,
6,5,mar,fri,91.2,48.3,97.8,12.5,11.7,33,4,0,8.31,0,0.597852078,
3,4,feb,wed,86.9,6.6,18.7,3.2,8.8,35,3.1,0,1.1,0,0.66098477,
4,4,sep,sun,89.7,90,704.4,4.8,17.8,64,1.3,0,0,0,0.957179273,
6,3,sep,fri,92.5,122,789.7,10.2,15.9,55,3.6,0,0,0,0.44338889,
7,5,aug,tue,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,0,0.504393079,
1,2,sep,thu,92.9,137,706.4,9.2,21.5,15,0.9,0,0,0,0.354777614,
6,5,aug,wed,93.1,157.3,666.7,13.5,22.1,37,3.6,0,0.21,0,0.980184756,
2,5,jul,sat,90.8,84.7,376.6,5.6,23.8,51,1.8,0,0,0,0.153684141,
8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0,6.96,0,0.444942572,
7,5,aug,tue,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0,0,0.515078672,
1,3,sep,sun,91,276.3,825.1,7.1,21.9,43,4,0,70.76,1,0.81830289,
8,6,aug,sat,92.2,81.8,480.8,11.9,16.4,43,4,0,71.3,1,0.360300076,
1,4,aug,sat,90.2,96.9,624.2,8.9,14.2,53,1.8,0,3.5,0,0.260794966,
4,4,sep,sun,92.4,124.1,680.7,8.5,16.9,60,1.3,0,29.48,0,0.437708243,
3,4,sep,fri,94.3,85.1,692.3,15.9,19.8,50,5.4,0,0,0,0.894769568,
7,4,sep,sun,92.4,105.8,758.1,9.9,25.3,27,2.7,0,0,0,0.309755612,
2,5,oct,sun,92.6,46.5,691.8,8.8,15.4,35,0.9,0,0,0,0.13524099,
7,4,sep,mon,91.6,108.4,764,6.2,19.3,44,2.2,0,0,0,0.67876201,
8,6,sep,mon,91.9,111.7,770.3,6.5,15.7,51,2.2,0,0,0,0.199791007,
7,5,oct,mon,91.7,48.5,696.1,11.1,16.1,44,4,0,49.37,1,0.645228378,
5,4,aug,tue,95.1,141.3,605.8,17.7,26.4,34,3.6,0,16.4,0,0.096531058,
2,2,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0,0,0,0.894404599,
5,5,mar,thu,90.9,18.9,30.6,8,11.6,48,5.4,0,0,0,0.583528335,
6,5,mar,thu,84.9,18.2,55,3,5.3,70,4.5,0,2.14,0,0.573469596,
3,4,oct,sun,92.6,46.5,691.8,8.8,20.6,24,5.4,0,0,0,0.626591418,
2,4,aug,sun,92,203.2,664.5,8.1,24.9,42,5.4,0,2.44,0,0.307831249,
8,6,sep,tue,91,129.5,692.6,7,13.1,63,5.4,0,0,0,0.842469203,
2,5,aug,wed,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,0,0.898219821,
1,4,aug,fri,90.6,269.8,811.2,5.5,22.2,45,3.6,0,0,0,0.504352456,
6,3,sep,sun,92.4,105.8,758.1,9.9,24.8,28,1.8,0,14.29,0,0.101999371,
4,6,mar,sun,89.3,51.3,102.2,9.6,10.6,46,4.9,0,0,0,0.625749978,
2,2,aug,thu,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0,0,0.957198482,
7,5,sep,tue,91,129.5,692.6,7,20.7,37,2.2,0,17.2,0,0.271199641,
2,2,aug,tue,92.1,152.6,658.2,14.3,23.7,24,3.1,0,0,0,0.099402645,
2,2,aug,tue,92.1,152.6,658.2,14.3,21.8,56,3.1,0,0.52,0,0.447627871,
6,4,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4,0,0,0,0.407185472,
6,5,apr,mon,87.9,24.9,41.6,3.7,10.9,64,3.1,0,3.35,0,0.207823099,
6,5,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0,24.77,0,0.793850885,
9,5,jun,wed,93.3,49.5,297.7,14,28,34,4.5,0,0,0,0.576675303,
3,4,aug,sun,91.4,142.4,601.4,10.6,11.6,87,4.5,0,0,0,0.989834532,
3,4,mar,sat,91.7,35.8,80.8,7.8,15.2,27,4.9,0,0,0,0.002942347,
2,2,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0,0,0,0.09857383,
4,4,aug,fri,94.3,167.6,684.4,13,21.8,53,3.1,0,6.54,0,0.971736621,
6,6,jul,mon,94.2,62.3,442.9,11,23,36,3.1,0,0,0,0.333437004,
9,9,jul,sun,90.1,68.6,355.2,7.2,24.8,29,2.2,0,1.36,0,0.057841278,
8,3,sep,thu,93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41,0,0.86337183,
6,5,aug,fri,63.5,70.8,665.3,0.8,17,72,6.7,0,0,0,0.630569102,
7,4,sep,fri,92.4,117.9,668,12.2,19,34,5.8,0,1.69,0,0.011056107,
3,4,aug,tue,92.1,152.6,658.2,14.3,21,32,3.1,0,0,0,0.1909954,
8,6,jul,tue,92.3,88.8,440.9,8.5,17.1,67,3.6,0,6.57,0,0.541133942,
7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4,0,0,0,0.302179939,
8,6,aug,sun,94.9,130.3,587.1,14.1,31,27,5.4,0,0,0,0.907971302,
3,4,mar,sat,91.7,35.8,80.8,7.8,11.6,30,6.3,0,0,0,0.472378011,
1,2,aug,tue,94.8,108.3,647.1,17,18.6,51,4.5,0,0,0,0.946605185,
7,4,sep,fri,92.4,117.9,668,12.2,19,34,5.8,0,0,0,0.180433042,
8,6,mar,fri,91.7,33.3,77.5,9,8.3,97,4,0.2,0,0,0.344554707,
8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95,0,0.657881901,
9,4,jul,sat,91.6,104.2,474.9,9,25.3,39,0.9,0,8,0,0.683002507,
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,0,0.299428719,
4,4,sep,sat,91.2,124.4,795.3,8.5,17.1,41,2.2,0,11.22,0,0.584539039,
6,5,jun,mon,90.4,93.3,298.1,7.5,20.7,25,4.9,0,0,0,0.68877242,
7,4,sep,fri,92.1,99,745.3,9.6,18.7,50,2.2,0,5.97,0,0.523018476,
6,6,aug,mon,96.2,175.5,661.8,16.8,23.9,42,2.2,0,0,0,0.267954405,
1,2,aug,fri,91,166.9,752.6,7.1,18.5,73,8.5,0,0,0,0.391251665,
8,6,aug,fri,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,0,0.501755243,
5,4,apr,sun,91,14.6,25.6,12.3,17.6,27,5.8,0,0,0,0.83116113,
6,3,sep,mon,91.5,130.1,807.1,7.5,12.2,66,4.9,0,6.1,0,0.184895329,
2,4,aug,thu,91.6,248.4,753.8,6.3,16.6,59,2.7,0,0,0,0.704114643,
1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33,0,0.694255955,
4,4,sep,fri,92.1,99,745.3,9.6,20.8,35,4.9,0,13.06,0,0.101232949,
1,3,mar,mon,87.6,52.2,103.8,5,8.3,72,3.1,0,0,0,0.653280571,
5,4,aug,tue,95.1,141.3,605.8,17.7,24.1,43,6.3,0,2,0,0.350981203,
6,3,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0,0,0,0.29317293,
4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,0,0.904411546,
7,4,sep,wed,90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71,0,0.16206238,
2,5,aug,tue,92.1,152.6,658.2,14.3,20.2,47,4,0,3.09,0,0.627937453,
4,4,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0,0,0,0.754117612,
1,4,aug,wed,91.7,191.4,635.9,7.8,19.9,50,4,0,82.75,1,0.199656039,
3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0,0,0,0.17244663,
2,5,aug,sun,90.2,99.6,631.2,6.3,19.2,44,2.7,0,4.69,0,0.524543207,
7,5,aug,sat,93.7,231.1,715.1,8.4,26.4,33,3.6,0,0,0,0.454538185,
3,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0,10.73,0,0.299283656,
8,6,aug,sun,92.3,85.3,488,14.7,22.2,29,5.4,0,0,0,0.677669624,
8,6,aug,mon,91.5,145.4,608.2,10.7,8,86,2.2,0,0,0,0.381091273,
6,3,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0,0,0,0.548087853,
2,2,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0,0,0,0.640385055,
6,3,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0,0,0,0.370079879,
9,6,aug,thu,91.6,248.4,753.8,6.3,20.5,58,2.7,0,42.87,1,0.417772057,
6,5,mar,thu,90.9,18.9,30.6,8,8.7,51,5.8,0,0,0,0.068473078,
7,4,jul,sat,91.6,104.2,474.9,9,24.3,30,1.8,0,0,0,0.610587483,
7,4,feb,fri,84.6,3.2,43.6,3.3,8.2,53,9.4,0,4.62,0,0.917799045,
6,5,sep,mon,90.9,126.5,686.5,7,21.3,42,2.2,0,0,0,0.64116839,
2,5,aug,sun,94.9,130.3,587.1,14.1,33.1,25,4,0,26.43,0,0.507879425,
9,5,jun,wed,93.3,49.5,297.7,14,28,34,4.5,0,8.16,0,0.625610289,
4,3,jun,thu,93,103.8,316.7,10.8,26.4,35,2.7,0,10.08,0,0.439220744,
2,2,sep,mon,91.5,130.1,807.1,7.5,16.8,43,3.1,0,5.83,0,0.00838621,
5,4,aug,tue,88.8,147.3,614.5,9,17.3,43,4.5,0,0,0,0.552023926,
8,6,sep,mon,91.6,108.4,764,6.2,22.7,35,2.2,0,7.48,0,0.924805291,
2,4,sep,sun,50.4,46.2,706.6,0.4,12.2,78,6.3,0,0,0,0.209510229,
7,5,sep,sat,92.5,88,698.6,7.1,22.8,40,4,0,0,0,0.115360069,
2,5,aug,thu,87.5,77,694.8,5,22.3,46,4,0,0,0,0.256410074,
4,4,sep,thu,92.4,96.2,739.4,8.6,19.2,24,4.9,0,3.78,0,0.911801271,
4,3,sep,mon,91.6,108.4,764,6.2,9.8,86,1.8,0,0,0,0.547367082,
8,8,aug,wed,91.7,191.4,635.9,7.8,26.2,36,4.5,0,185.76,1,0.19246423,
3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0,0,0,0.897395631,
7,4,feb,mon,84.7,9.5,58.3,4.1,7.5,71,6.3,0,9.96,0,0.009516071,
5,6,aug,sun,91.6,181.3,613,7.6,24.3,33,3.6,0,3.63,0,0.131325491,
1,4,sep,sun,89.6,84.1,714.3,5.7,19,52,2.2,0,0,0,0.914262058,
4,4,aug,tue,95.1,141.3,605.8,17.7,19.4,71,7.6,0,46.7,1,0.382875175,
3,4,sep,sun,89.7,90,704.4,4.8,22.8,39,3.6,0,0,0,0.74492398,
4,3,aug,wed,94.5,139.4,689.1,20,28.9,29,4.9,0,49.59,1,0.367114442,
8,6,aug,wed,95.2,217.7,690,18,28.2,29,1.8,0,5.86,0,0.529852914,
7,6,jul,wed,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,0,0,0.206606696,
3,4,aug,sun,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0,0,0.396459181,
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0,10.93,0,0.032687292,
8,6,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0,0,0,0.294526151,
1,5,sep,tue,91,129.5,692.6,7,21.6,33,2.2,0,11.53,0,0.118865268,
6,3,sep,thu,92.8,119,783.5,7.5,18.9,34,7.2,0,34.36,0,0.252439255,
2,4,aug,sun,91.6,181.3,613,7.6,20.9,50,2.2,0,16,0,0.505848365,
5,6,mar,sat,90.6,50.1,100.4,7.8,15.1,64,4,0,13.99,0,0.833109836,
3,4,aug,sun,91.8,175.1,700.7,13.8,26.8,38,6.3,0,0.76,0,0.417975406,
1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0,0,0,0.179110432,
6,3,feb,fri,84.1,7.3,52.8,2.7,14.7,42,2.7,0,0,0,0.159404135,
2,4,aug,sun,91.8,175.1,700.7,13.8,22.4,54,7.6,0,2.87,0,0.95284835,
6,5,jun,fri,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1.19,0,0.798573783,
1,2,aug,tue,91,121.2,561.6,7,21.6,19,6.7,0,0,0,0.896298142,
7,4,mar,sun,90.7,44,92.4,5.5,11.5,60,4,0,8.24,0,0.403307466,
6,3,aug,thu,91.6,138.1,621.7,6.3,18.9,41,3.1,0,10.34,0,0.298859208,
3,4,sep,tue,91,129.5,692.6,7,13.9,59,6.3,0,11.24,0,0.746576969,
8,6,aug,thu,90.7,194.1,643,6.8,21.3,41,3.6,0,0,0,0.555228185,
2,4,sep,mon,91.6,108.4,764,6.2,20.4,41,1.8,0,1.47,0,0.696023029,
6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0,0,0,0.911923036,
8,6,aug,thu,90.7,194.1,643,6.8,16.2,63,2.7,0,16.33,0,0.435830179,
4,6,dec,fri,84.7,26.7,352.6,4.1,2.2,59,4.9,0,9.27,0,0.771422272,
8,6,aug,mon,92.1,207,672.6,8.2,26.8,35,1.3,0,0.54,0,0.067333588,
2,2,aug,sat,93.5,139.4,594.2,20.3,22.9,31,7.2,0,15.45,0,0.130933096,
4,4,sep,wed,92.6,115.4,777.1,8.8,19.7,41,1.8,0,1.58,0,0.752389074,
3,4,mar,fri,91.7,33.3,77.5,9,18.8,18,4.5,0,0,0,0.559358004,
1,4,sep,tue,91,129.5,692.6,7,21.7,38,2.2,0,0.43,0,0.221119196,
6,4,aug,fri,94.8,227,706.7,12,23.3,34,3.1,0,28.74,0,0.26553785,
2,4,aug,fri,91.6,112.4,573,8.9,21.4,42,3.1,0,4.25,0,0.045975363,
2,4,sep,sat,92.5,121.1,674.4,8.6,24.1,29,4.5,0,0,0,0.612745826,
4,6,dec,sun,84.4,27.2,353.5,6.8,4.8,57,8.5,0,8.98,0,0.963247114,
3,5,mar,tue,88.1,25.7,67.6,3.8,14.9,38,2.7,0,0,0,0.292829399,
4,4,aug,wed,95.1,141.3,605.8,17.7,20.6,58,1.3,0,0,0,0.312597921,
3,4,sep,thu,91.1,88.2,731.7,8.3,22.8,46,4,0,4.95,0,0.894552458,
5,4,feb,sun,86.8,15.6,48.3,3.9,12.4,53,2.2,0,6.38,0,0.314724398,
7,4,aug,thu,91.9,109.2,565.5,8,21.4,38,2.7,0,1.52,0,0.28757086,
4,5,sep,tue,91.1,132.3,812.1,12.5,15.9,38,5.4,0,1.75,0,0.957006884,
1,4,sep,mon,92.1,87.7,721.1,9.5,18.1,54,3.1,0,2.13,0,0.714631121,
2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,0,0.752552525,
7,5,sep,sat,92.5,88,698.6,7.1,17.8,51,7.2,0,0,0,0.571680959,
